ref,sender_code,receiver_code,amount,currency,timestamp,channel
TXN-000310,NOC-0060,NOC-0062,787.62,USD,2026-03-31T02:01:00,mobile
TXN-000311,NOC-0060,NOC-0061,217.6,USD,2026-04-10T02:35:00,mobile
TXN-000312,NOC-0063,NOC-0062,429.02,USD,2026-03-27T00:34:00,mobile
TXN-000313,NOC-0061,NOC-0060,228.47,USD,2026-03-29T23:30:00,mobile
TXN-000314,NOC-0063,NOC-0061,588.16,USD,2026-03-29T04:49:00,mobile
TXN-000315,NOC-0063,NOC-0060,583.76,USD,2026-03-26T23:29:00,mobile
TXN-000316,NOC-0062,NOC-0060,667.32,USD,2026-04-03T03:06:00,mobile
TXN-000317,NOC-0060,NOC-0062,333.02,USD,2026-04-11T00:47:00,mobile
TXN-000318,NOC-0062,NOC-0063,507.82,USD,2026-04-08T01:36:00,mobile
TXN-000319,NOC-0060,NOC-0061,651.81,USD,2026-04-08T04:52:00,mobile
TXN-000320,NOC-0062,NOC-0063,592.31,USD,2026-04-13T00:13:00,mobile
TXN-000321,NOC-0060,NOC-0061,617.66,USD,2026-04-09T04:44:00,mobile
TXN-000322,NOC-0061,NOC-0062,229.75,USD,2026-04-01T02:51:00,mobile
TXN-000323,NOC-0060,NOC-0061,770.42,USD,2026-03-30T00:14:00,mobile
TXN-000324,NOC-0060,NOC-0063,369.27,USD,2026-04-02T01:32:00,mobile
TXN-000325,NOC-0061,NOC-0062,591.78,USD,2026-04-04T04:57:00,mobile
TXN-000326,NOC-0062,NOC-0063,707.47,USD,2026-04-09T05:08:00,mobile
TXN-000327,NOC-0061,NOC-0063,811.65,USD,2026-03-31T05:16:00,mobile
TXN-000328,NOC-0063,NOC-0061,518.07,USD,2026-04-12T22:13:00,mobile
TXN-000329,NOC-0060,NOC-0061,314.04,USD,2026-04-01T22:43:00,mobile
TXN-000330,NOC-0060,NOC-0061,163.86,USD,2026-03-27T04:30:00,mobile
TXN-000331,NOC-0061,NOC-0060,255.36,USD,2026-04-07T04:10:00,mobile
TXN-000332,NOC-0061,NOC-0063,197.67,USD,2026-04-02T03:44:00,mobile
TXN-000333,NOC-0063,NOC-0060,452.89,USD,2026-04-08T04:35:00,mobile
TXN-000334,NOC-0061,NOC-0060,352.17,USD,2026-04-04T03:12:00,mobile
TXN-000335,NOC-0060,NOC-0063,427.01,USD,2026-03-30T02:29:00,mobile
TXN-000336,NOC-0063,NOC-0062,767.83,USD,2026-04-09T22:04:00,mobile
TXN-000337,NOC-0060,NOC-0062,177.12,USD,2026-04-04T02:29:00,mobile
TXN-000338,NOC-0060,NOC-0061,365.89,USD,2026-04-09T00:55:00,mobile
TXN-000339,NOC-0063,NOC-0061,351.93,USD,2026-04-13T01:42:00,mobile
TXN-000340,NOC-0063,NOC-0062,301.27,USD,2026-03-27T04:02:00,mobile
TXN-000341,NOC-0060,NOC-0061,272.69,USD,2026-03-29T00:13:00,mobile
TXN-000342,NOC-0063,NOC-0061,232.47,USD,2026-04-11T05:32:00,mobile
TXN-000343,NOC-0061,NOC-0060,321.85,USD,2026-03-29T00:25:00,mobile
